split,seed,episode_id,nav_deviation,manipulation_slip,trap_pressure,sensor_uncertainty,latent_mode_shift,clutter,budget,direct_shortcut_nominal_cost,direct_shortcut_true_failure,direct_shortcut_true_recovery,direct_shortcut_true_trap,direct_shortcut_true_damage,direct_shortcut_branch_entropy,robust_margin_route_nominal_cost,robust_margin_route_true_failure,robust_margin_route_true_recovery,robust_margin_route_true_trap,robust_margin_route_true_damage,robust_margin_route_branch_entropy,contingency_branch_nominal_cost,contingency_branch_true_failure,contingency_branch_true_recovery,contingency_branch_true_trap,contingency_branch_true_damage,contingency_branch_branch_entropy,diagnostic_staging_nominal_cost,diagnostic_staging_true_failure,diagnostic_staging_true_recovery,diagnostic_staging_true_trap,diagnostic_staging_true_damage,diagnostic_staging_branch_entropy,reversible_probe_nominal_cost,reversible_probe_true_failure,reversible_probe_true_recovery,reversible_probe_true_trap,reversible_probe_true_damage,reversible_probe_branch_entropy,conservative_backoff_nominal_cost,conservative_backoff_true_failure,conservative_backoff_true_recovery,conservative_backoff_true_trap,conservative_backoff_true_damage,conservative_backoff_branch_entropy,dual_recovery_branch_nominal_cost,dual_recovery_branch_true_failure,dual_recovery_branch_true_recovery,dual_recovery_branch_true_trap,dual_recovery_branch_true_damage,dual_recovery_branch_branch_entropy
open_easy,0,10,0.09639,0.13683,0.07962,0.14841,0.06049,0.09771,2.39502,1.00012,0.14933,0.21446,0.08294,0.17340,0.15259,1.57642,0.09222,0.46714,0.00647,0.08202,0.15711,1.81449,0.05669,0.76740,0.00100,0.07417,0.56096,1.66664,0.00580,0.89704,0.00100,0.00100,0.68464,1.84851,0.00689,0.90543,0.00100,0.00100,0.66533,2.38589,0.06382,0.66747,0.00100,0.04908,0.25814,2.05171,0.00100,0.98186,0.00100,0.00100,0.95769
open_easy,0,11,0.06011,0.06880,0.07453,0.04578,0.09279,0.07708,2.53545,1.07878,0.12337,0.23345,0.08286,0.15615,0.05305,1.62370,0.09372,0.45224,0.02165,0.09535,0.16298,1.69690,0.03905,0.78006,0.00100,0.06008,0.56936,1.60641,0.00100,0.91481,0.00100,0.00100,0.59198,1.86081,0.00100,0.92907,0.00100,0.00100,0.71704,2.44667,0.06183,0.69347,0.00100,0.04899,0.25199,2.10934,0.00100,0.93393,0.00100,0.02339,0.83031
open_easy,0,12,0.07988,0.08927,0.10295,0.11764,0.07940,0.09931,2.67403,1.08167,0.13223,0.18800,0.10791,0.17239,0.10317,1.63135,0.07919,0.49040,0.00544,0.06531,0.22067,1.80373,0.05664,0.77015,0.00100,0.08194,0.51623,1.70439,0.00100,0.91879,0.00100,0.00100,0.63077,1.77195,0.00100,0.89574,0.00100,0.00100,0.77099,2.38650,0.04912,0.67385,0.00100,0.02641,0.24520,2.03694,0.00100,0.98655,0.00100,0.00372,0.87995
open_easy,0,13,0.13548,0.02188,0.02266,0.06609,0.03528,0.02078,2.52548,0.97966,0.12545,0.23558,0.03728,0.13367,0.16826,1.59917,0.07352,0.49659,0.00100,0.06192,0.18543,1.82746,0.04057,0.75740,0.00100,0.06280,0.54701,1.64051,0.00100,0.91827,0.00100,0.00100,0.71256,1.92396,0.00100,0.93826,0.00100,0.00100,0.69905,2.41942,0.05047,0.67508,0.00100,0.04760,0.34841,1.99002,0.00100,0.97974,0.00100,0.00627,0.89392
open_easy,0,14,0.10494,0.14494,0.12592,0.09857,0.07708,0.07787,2.57352,1.05329,0.15896,0.19410,0.12149,0.19650,0.06471,1.57552,0.09557,0.47799,0.01387,0.08150,0.16877,1.68751,0.05354,0.75443,0.00100,0.05021,0.58905,1.65779,0.00100,0.89254,0.00100,0.00100,0.61177,1.83700,0.01401,0.89496,0.00100,0.00100,0.67339,2.41064,0.06754,0.69221,0.00100,0.04561,0.34092,2.09121,0.01394,0.94758,0.00100,0.01442,0.79971
open_easy,0,15,0.08288,0.07003,0.07020,0.07680,0.05877,0.06814,2.45646,0.97338,0.12756,0.19651,0.07822,0.16144,0.02558,1.62155,0.06983,0.50635,0.00100,0.04026,0.26091,1.68570,0.03913,0.75057,0.00100,0.04938,0.58630,1.60410,0.00100,0.91192,0.00100,0.00100,0.68903,1.94083,0.00100,0.87752,0.00100,0.00100,0.61967,2.46382,0.06449,0.69140,0.00100,0.05890,0.32047,1.99723,0.00100,0.95757,0.00100,0.00698,0.90460
open_easy,0,16,0.05297,0.14818,0.09790,0.04824,0.03419,0.05937,2.56495,0.94933,0.13410,0.21330,0.09382,0.17933,0.10818,1.64696,0.08074,0.51240,0.00236,0.06846,0.19216,1.71075,0.04435,0.79741,0.00100,0.06435,0.62665,1.63616,0.00100,0.93513,0.00100,0.00100,0.72128,1.86351,0.00100,0.92163,0.00100,0.00100,0.70410,2.48571,0.06117,0.69731,0.00100,0.05447,0.34503,2.13435,0.00158,0.95623,0.00100,0.00606,0.89861
open_easy,0,17,0.12228,0.09771,0.01000,0.07106,0.01000,0.04496,2.59113,1.00550,0.14117,0.19600,0.02143,0.14126,0.01748,1.61922,0.07145,0.52062,0.00100,0.04177,0.23668,1.83995,0.05390,0.76019,0.00100,0.06265,0.54225,1.71581,0.00100,0.90657,0.00100,0.00100,0.57673,1.84618,0.00100,0.94003,0.00100,0.00100,0.70894,2.37494,0.05565,0.66607,0.00100,0.04595,0.27014,2.07551,0.00245,0.95867,0.00100,0.00100,0.88584
open_easy,0,18,0.02000,0.10873,0.06906,0.04762,0.01377,0.12012,2.59625,1.03986,0.10436,0.23088,0.06604,0.14549,0.14068,1.61987,0.07615,0.50897,0.00100,0.07515,0.20145,1.74450,0.02766,0.78397,0.00100,0.05446,0.53754,1.69660,0.00100,0.87104,0.00100,0.00100,0.57186,1.87368,0.00100,0.87731,0.00100,0.00100,0.65405,2.51371,0.05139,0.68258,0.00100,0.04349,0.25628,2.07860,0.00100,0.97753,0.00100,0.01960,0.88855
open_easy,0,19,0.07753,0.07078,0.03872,0.10438,0.01000,0.09364,2.64605,0.95649,0.11963,0.21949,0.04700,0.14309,0.11133,1.52080,0.07302,0.52880,0.00100,0.06721,0.25315,1.67042,0.04240,0.77815,0.00100,0.07299,0.54969,1.59865,0.00100,0.91238,0.00100,0.00100,0.62476,1.80753,0.00100,0.91060,0.00100,0.00100,0.69340,2.44838,0.05341,0.65680,0.00100,0.04916,0.29678,2.00532,0.00100,0.98673,0.00100,0.00286,0.99000
open_easy,0,20,0.12119,0.07303,0.01000,0.07106,0.08271,0.08003,2.77586,1.05058,0.14761,0.17554,0.03982,0.13130,0.08337,1.61440,0.08463,0.50169,0.00100,0.06158,0.17874,1.74003,0.05566,0.73951,0.00100,0.06675,0.45334,1.77441,0.00100,0.94182,0.00100,0.00100,0.65263,1.82722,0.00100,0.92945,0.00100,0.00100,0.66964,2.41943,0.06680,0.65150,0.00100,0.05872,0.31307,2.01921,0.01192,0.92193,0.00100,0.01026,0.79929
open_easy,0,21,0.12580,0.11405,0.03272,0.05932,0.02604,0.12064,2.51373,1.03510,0.15238,0.21948,0.04566,0.15127,0.08118,1.65013,0.08519,0.50373,0.00100,0.05813,0.17934,1.81997,0.04876,0.78790,0.00100,0.05472,0.58458,1.65436,0.00593,0.91081,0.00100,0.00100,0.62737,1.83061,0.01861,0.89572,0.00100,0.00100,0.81813,2.46084,0.06119,0.69582,0.00100,0.04860,0.36289,1.98472,0.00850,0.99892,0.00100,0.00100,0.95699
open_easy,0,22,0.11315,0.11417,0.02504,0.10027,0.07515,0.07967,2.66337,1.10147,0.14724,0.22940,0.04353,0.14229,0.11331,1.66832,0.08726,0.53738,0.00100,0.06607,0.15057,1.72985,0.06148,0.73526,0.00100,0.07097,0.49726,1.74358,0.00100,0.90188,0.00100,0.00100,0.63041,1.81377,0.00218,0.92524,0.00100,0.00100,0.69546,2.51646,0.06479,0.68866,0.00100,0.04704,0.27643,2.19608,0.00754,0.99040,0.00100,0.00525,0.93387
open_easy,0,23,0.10937,0.06172,0.05033,0.04406,0.03052,0.09596,2.66294,0.99895,0.12949,0.19262,0.06075,0.14312,0.04546,1.67776,0.07378,0.49320,0.00100,0.05336,0.20291,1.62453,0.04575,0.77154,0.00100,0.06563,0.55512,1.66731,0.00100,0.91724,0.00100,0.00100,0.66670,1.83189,0.00100,0.89770,0.00100,0.00100,0.77787,2.41180,0.06370,0.66612,0.00100,0.04873,0.27091,1.95655,0.00140,0.97497,0.00100,0.01212,0.89827
open_easy,0,24,0.07488,0.10410,0.10786,0.04607,0.06306,0.09605,2.45522,0.91389,0.12444,0.22729,0.10108,0.14769,0.07175,1.62356,0.08796,0.49175,0.01536,0.07774,0.28420,1.75772,0.04956,0.78022,0.00100,0.07810,0.56540,1.67926,0.00100,0.95223,0.00100,0.00100,0.65220,1.89489,0.00441,0.88721,0.00100,0.00100,0.72388,2.45740,0.06206,0.67132,0.00100,0.04666,0.28372,2.17800,0.00317,0.97285,0.00100,0.01315,0.85790
open_easy,0,25,0.12823,0.05328,0.07371,0.02591,0.05865,0.04690,2.46104,1.00778,0.13790,0.23161,0.07915,0.15650,0.11626,1.61152,0.08136,0.48284,0.00495,0.06475,0.15575,1.81151,0.04966,0.77510,0.00100,0.06978,0.59888,1.66433,0.00100,0.91104,0.00100,0.00100,0.65074,1.84237,0.00649,0.91749,0.00100,0.00100,0.67060,2.46692,0.06393,0.66856,0.00100,0.05105,0.35232,2.12428,0.00690,0.93827,0.00100,0.00313,0.82076
open_easy,0,26,0.09027,0.13635,0.06941,0.09313,0.03228,0.11250,2.62878,0.98678,0.13985,0.21472,0.06782,0.15546,0.01000,1.53125,0.08987,0.50667,0.00263,0.07529,0.35993,1.71283,0.06318,0.73964,0.00100,0.08245,0.50650,1.57499,0.00292,0.90276,0.00100,0.00100,0.67454,1.92620,0.00299,0.89803,0.00100,0.00100,0.62627,2.46158,0.06277,0.68181,0.00100,0.04278,0.31428,2.02479,0.01128,0.95908,0.00100,0.01768,0.83101
open_easy,0,27,0.03386,0.12824,0.05770,0.04304,0.01000,0.20465,2.68089,0.96134,0.11971,0.23496,0.05282,0.15253,0.05604,1.59431,0.07182,0.50136,0.00100,0.04968,0.19611,1.76253,0.04356,0.77859,0.00100,0.06804,0.51193,1.65385,0.00100,0.92916,0.00100,0.00100,0.63805,1.81283,0.00100,0.92060,0.00100,0.00100,0.72425,2.42783,0.05524,0.71130,0.00100,0.04158,0.32294,2.07716,0.00100,0.99311,0.00100,0.00100,0.88879
open_easy,0,28,0.04886,0.12509,0.07543,0.08560,0.08473,0.03539,2.56971,0.98963,0.13359,0.18040,0.09322,0.17709,0.12399,1.64377,0.07339,0.48729,0.00149,0.05151,0.18498,1.81958,0.03044,0.77195,0.00100,0.04895,0.53914,1.78075,0.00100,0.88293,0.00100,0.00100,0.64418,1.84757,0.00100,0.86808,0.00100,0.00100,0.68388,2.44267,0.06114,0.66407,0.00100,0.05287,0.19888,2.14715,0.00353,0.90855,0.00100,0.01215,0.84483
open_easy,0,29,0.10572,0.10846,0.04006,0.05201,0.01000,0.07196,2.68106,0.97603,0.13471,0.22651,0.04373,0.14073,0.06756,1.69273,0.07877,0.48276,0.00100,0.06107,0.23699,1.71769,0.05010,0.76709,0.00100,0.06664,0.56950,1.62268,0.00263,0.89698,0.00100,0.00100,0.65655,1.80169,0.00100,0.89177,0.00100,0.00100,0.60232,2.51451,0.05794,0.68697,0.00100,0.04531,0.30629,2.13531,0.01519,0.95267,0.00100,0.01988,0.83600
open_easy,0,30,0.07589,0.08087,0.01000,0.03578,0.01585,0.09733,2.54245,0.94720,0.12347,0.22870,0.02628,0.13676,0.07705,1.65106,0.08324,0.48500,0.00100,0.08001,0.17147,1.66244,0.04116,0.76777,0.00100,0.06278,0.58876,1.69844,0.00100,0.90211,0.00100,0.00100,0.60580,1.84297,0.00100,0.94215,0.00100,0.00100,0.81924,2.38660,0.05829,0.69140,0.00100,0.04695,0.29112,2.07062,0.00100,0.95914,0.00100,0.00194,0.78403
open_easy,0,31,0.07222,0.09816,0.09780,0.12346,0.07462,0.11356,2.64169,1.08445,0.12495,0.20661,0.09503,0.15942,0.14406,1.70887,0.08875,0.50723,0.01248,0.07671,0.25903,1.71454,0.03434,0.77261,0.00100,0.04258,0.51229,1.69166,0.00100,0.87036,0.00100,0.00100,0.61000,1.83520,0.00100,0.92704,0.00100,0.00100,0.73627,2.40325,0.06650,0.67371,0.00100,0.05785,0.27218,2.04488,0.00169,0.94057,0.00100,0.00427,0.88077
open_easy,0,32,0.14805,0.13283,0.01752,0.05736,0.07750,0.15437,2.56960,0.94637,0.17805,0.25031,0.04092,0.17366,0.16842,1.61620,0.09869,0.51471,0.00100,0.06885,0.23617,1.70275,0.06499,0.77822,0.00100,0.06348,0.57408,1.70617,0.01538,0.91827,0.00100,0.00100,0.62754,2.00306,0.01656,0.95266,0.00100,0.00100,0.80160,2.37396,0.07464,0.71823,0.00100,0.05755,0.34385,2.00219,0.01693,0.99760,0.00100,0.00100,0.90803
open_easy,0,33,0.11818,0.11248,0.04401,0.12418,0.02577,0.07292,2.56166,0.96817,0.14315,0.20437,0.05302,0.15309,0.11845,1.56561,0.08524,0.47993,0.00100,0.06414,0.24031,1.75073,0.05224,0.75225,0.00100,0.07242,0.49886,1.74983,0.00623,0.90568,0.00100,0.00100,0.64713,1.79862,0.01090,0.91802,0.00100,0.00100,0.75994,2.41261,0.06172,0.68547,0.00100,0.04662,0.40233,2.03838,0.00456,0.96006,0.00100,0.00100,0.80241
open_easy,0,34,0.12204,0.09397,0.11165,0.04577,0.04699,0.03833,2.69322,0.98306,0.14540,0.19056,0.11282,0.17982,0.06166,1.62873,0.08674,0.50259,0.01115,0.06077,0.19830,1.75730,0.05217,0.77765,0.00100,0.05607,0.65055,1.62004,0.00100,0.90745,0.00100,0.00100,0.66039,1.86204,0.00100,0.93398,0.00100,0.00100,0.71831,2.41052,0.06907,0.66435,0.00100,0.06176,0.30510,2.06069,0.00100,0.92402,0.00100,0.00100,0.75568
open_easy,0,35,0.09692,0.04146,0.02636,0.11789,0.04589,0.02000,2.78022,0.95348,0.12092,0.18461,0.04509,0.14095,0.01000,1.59237,0.07603,0.47349,0.00100,0.06886,0.14509,1.75767,0.04250,0.77768,0.00100,0.06950,0.50722,1.69349,0.00100,0.87766,0.00100,0.00100,0.61904,1.89426,0.00100,0.92755,0.00100,0.00100,0.73816,2.33322,0.04170,0.71101,0.00100,0.02084,0.32405,2.02410,0.00100,0.96914,0.00100,0.00100,0.89132
open_easy,0,36,0.04958,0.09846,0.02268,0.06437,0.04161,0.03863,2.57338,0.93789,0.12221,0.22309,0.04035,0.15294,0.05326,1.61190,0.06841,0.54146,0.00100,0.05587,0.25976,1.72543,0.04554,0.74988,0.00100,0.08474,0.54336,1.69578,0.00100,0.88679,0.00100,0.00100,0.55377,1.78282,0.00100,0.94577,0.00100,0.00100,0.67737,2.45599,0.05467,0.70532,0.00100,0.05123,0.31997,2.09214,0.00100,0.96497,0.00100,0.00178,0.85619
open_easy,0,37,0.06162,0.14316,0.08264,0.08848,0.07099,0.04747,2.61887,0.98748,0.13443,0.18826,0.08985,0.16978,0.08224,1.56639,0.09787,0.44684,0.01402,0.09890,0.12361,1.78541,0.05866,0.74573,0.00100,0.08474,0.54035,1.71861,0.00100,0.90680,0.00100,0.00100,0.63959,1.90943,0.00100,0.89708,0.00100,0.00100,0.61678,2.50885,0.06367,0.69354,0.00100,0.05094,0.31844,2.02947,0.00211,0.93472,0.00100,0.00547,0.84877
open_easy,0,38,0.13538,0.05977,0.03512,0.09236,0.05878,0.06354,2.65042,1.06592,0.13804,0.20603,0.05053,0.14479,0.06718,1.73470,0.08521,0.47593,0.00100,0.06471,0.24520,1.75425,0.04682,0.76768,0.00100,0.05230,0.54188,1.72854,0.00100,0.89539,0.00100,0.00100,0.57716,1.82653,0.00100,0.88327,0.00100,0.00100,0.68416,2.58990,0.05680,0.67651,0.00100,0.03747,0.32486,2.14979,0.00100,0.99900,0.00100,0.00100,0.98598
open_easy,0,39,0.13259,0.08101,0.07713,0.04271,0.01000,0.03713,2.54531,1.05963,0.13654,0.16982,0.07937,0.15578,0.01347,1.67978,0.08578,0.49666,0.00100,0.07567,0.17047,1.82228,0.05268,0.78347,0.00100,0.07174,0.64906,1.61969,0.00346,0.88963,0.00100,0.00100,0.62790,1.93017,0.00100,0.92774,0.00100,0.00100,0.75236,2.43782,0.05555,0.69014,0.00100,0.05296,0.22978,2.14454,0.00284,0.97331,0.00100,0.00132,0.86582
open_easy,0,40,0.05957,0.06163,0.06680,0.06789,0.01000,0.02172,2.51481,0.95029,0.10676,0.20814,0.06384,0.15106,0.03473,1.57640,0.07080,0.50093,0.00100,0.06761,0.23658,1.67701,0.03159,0.77354,0.00100,0.05395,0.54359,1.57097,0.00100,0.91546,0.00100,0.00100,0.57064,1.81998,0.00100,0.90979,0.00100,0.00100,0.73753,2.42057,0.04990,0.68359,0.00100,0.04581,0.36016,2.06016,0.00100,0.96346,0.00100,0.00100,0.90226
open_easy,0,41,0.04706,0.05235,0.02354,0.08407,0.03656,0.09249,2.49948,1.01795,0.10393,0.24344,0.03505,0.13215,0.05834,1.50771,0.06320,0.51166,0.00100,0.04864,0.25317,1.79275,0.02972,0.75171,0.00100,0.05519,0.53842,1.67405,0.00100,0.90130,0.00100,0.00100,0.62468,1.88556,0.00100,0.92772,0.00100,0.00100,0.73252,2.38936,0.04851,0.68218,0.00100,0.03996,0.34440,2.01299,0.00100,0.96217,0.00100,0.00100,0.93235
open_easy,0,42,0.09040,0.10758,0.03830,0.08740,0.02224,0.06462,2.59746,0.92765,0.13247,0.20063,0.04534,0.15214,0.07680,1.67932,0.08429,0.49507,0.00100,0.07682,0.15084,1.76161,0.04880,0.76048,0.00100,0.06618,0.56537,1.63479,0.00100,0.86222,0.00100,0.00100,0.57140,1.78646,0.00100,0.92375,0.00100,0.00100,0.70367,2.31512,0.05200,0.68303,0.00100,0.04095,0.27258,2.07333,0.00100,0.97167,0.00100,0.00100,0.93767
open_easy,0,43,0.09825,0.08270,0.07177,0.03223,0.09662,0.07489,2.41748,0.98951,0.13842,0.23894,0.08017,0.15534,0.07631,1.58918,0.08642,0.48111,0.00945,0.06817,0.14882,1.70115,0.04976,0.73801,0.00100,0.05639,0.47515,1.76178,0.00100,0.88534,0.00100,0.00100,0.56425,1.87787,0.00100,0.93676,0.00100,0.00100,0.81792,2.43140,0.06249,0.70632,0.00100,0.04851,0.33841,2.07264,0.00100,0.96903,0.00100,0.00140,0.91490
open_easy,0,44,0.10883,0.06223,0.05866,0.07867,0.04067,0.08795,2.65938,1.02912,0.13286,0.21016,0.06658,0.15876,0.08811,1.66151,0.08218,0.50020,0.00155,0.06638,0.14701,1.71224,0.04409,0.81806,0.00100,0.06358,0.68175,1.68882,0.00100,0.90509,0.00100,0.00100,0.65126,1.88657,0.00100,0.91045,0.00100,0.00100,0.79483,2.47257,0.05054,0.70699,0.00100,0.03260,0.26814,2.04748,0.00100,0.94864,0.00100,0.00718,0.84166
open_easy,0,45,0.09565,0.08969,0.08105,0.10639,0.01677,0.08403,2.66996,1.06119,0.12688,0.18148,0.08032,0.15241,0.03335,1.64523,0.06597,0.53001,0.00100,0.04574,0.15432,1.80319,0.04250,0.76040,0.00100,0.05648,0.59989,1.70686,0.00100,0.91725,0.00100,0.00100,0.57631,1.92092,0.00140,0.91269,0.00100,0.00100,0.75624,2.48301,0.05556,0.67712,0.00100,0.04320,0.37599,2.09636,0.00465,0.91447,0.00100,0.00100,0.87089
open_easy,0,46,0.08901,0.10187,0.09379,0.04069,0.02664,0.07775,2.66672,0.94570,0.13727,0.20724,0.09008,0.18379,0.10741,1.52416,0.07194,0.51987,0.00100,0.05497,0.20073,1.72807,0.04003,0.78760,0.00100,0.05520,0.55661,1.60542,0.00100,0.90123,0.00100,0.00100,0.64475,1.89043,0.00100,0.93778,0.00100,0.00100,0.70189,2.46770,0.05565,0.68716,0.00100,0.03412,0.30639,2.08256,0.00100,0.98121,0.00100,0.00100,0.84572
open_easy,0,47,0.08454,0.13542,0.03531,0.09793,0.01000,0.11233,2.60536,1.00825,0.14719,0.19803,0.04640,0.17213,0.07186,1.64519,0.08483,0.47983,0.00100,0.07705,0.20376,1.74768,0.04685,0.75544,0.00100,0.06558,0.48483,1.75986,0.00100,0.88209,0.00100,0.00100,0.54357,1.81331,0.00384,0.89013,0.00100,0.00100,0.66443,2.40701,0.07201,0.65108,0.00100,0.06852,0.29937,1.99079,0.00465,0.96114,0.00100,0.00577,0.87274
open_easy,0,48,0.06447,0.10756,0.05749,0.07597,0.01000,0.05175,2.57008,0.91984,0.12314,0.21083,0.06172,0.15393,0.07031,1.65141,0.07685,0.48885,0.00100,0.07341,0.22300,1.76158,0.04462,0.74902,0.00100,0.06947,0.58037,1.63206,0.00100,0.87594,0.00100,0.00100,0.54480,1.88926,0.00100,0.94817,0.00100,0.00100,0.78071,2.41077,0.05667,0.66605,0.00100,0.05069,0.29796,2.04086,0.00100,0.97907,0.00100,0.01094,0.95609
open_easy,0,49,0.06441,0.09731,0.08214,0.08045,0.04406,0.09420,2.67697,1.05397,0.12609,0.22652,0.08046,0.16564,0.11372,1.60476,0.07820,0.49403,0.00298,0.06533,0.25260,1.92470,0.03710,0.77824,0.00100,0.05221,0.55511,1.73518,0.00100,0.90289,0.00100,0.00100,0.59817,1.90992,0.00100,0.90561,0.00100,0.00100,0.73115,2.38439,0.05835,0.67742,0.00100,0.04656,0.28611,2.08248,0.00100,0.96855,0.00100,0.00699,0.85824
